tag,n,spike_v1_pct,sigma_gt_0.30_pct,med_alpha_m_high_sigma,med_mh_high_sigma,mode_alpha_m,mode_mh,low_alpha_count,high_alpha_count,low_high_ratio
v1,613939,18.323318766196643,34.54105375289728,0.10475017,-1.0119199,0.10661634,-1.0859319,92831,18857,4.9228933552526914
full_retrain,613939,0.32022725384769496,36.3426985417118,0.1252709,-0.7703219,0.12054931,-0.7687607,96586,20035,4.820863488894434
joint,613939,0.03697435738729744,24.902474024292317,0.08226122,-0.4836241,0.011544298,-0.44467664,135398,30392,4.455053961568834
joint_uniform,364847,0.060025161231968466,39.27728609526733,0.082008705,-0.48972008,0.06122055,-0.4388231,71736,18575,3.8619650067294753
joint_volume,249092,0.0032116647664316798,3.8475743901851525,0.08552891,-0.37577596,0.013618644,-0.02978754,63662,11817,5.387323347719387
subset100k,613939,0.13779870638613934,36.46925834651325,0.11279634,-0.7717599,0.10749004,-0.77635837,96781,19380,4.993859649122807
subset20k,613939,0.0,39.13971909261343,0.11538413,-0.61729234,0.105002664,-0.6293156,100787,5856,17.21089480874317
uniform,364847,29.275559344053807,54.43021321266175,0.10467124,-1.0131897,0.10313739,-1.0655048,34248,9378,3.651951375559821
uniform_v11,364847,8.75243595260479,55.100905310993376,0.11107366,-1.1274248,0.10955239,-1.1729686,28077,10035,2.7979073243647234
uniform_v2,364847,0.22009225785055106,57.46463586105957,0.124125965,-0.79086864,0.12181171,-0.8006455,31588,9981,3.1648131449754535
v11,613939,5.491587926487811,35.064884296322596,0.111083806,-1.1256651,0.10955239,-1.1694555,80033,21003,3.810550873684712
v2,613939,0.16500010587371058,36.503463699162296,0.12375424,-0.7903195,0.1245307,-0.8006455,84327,21442,3.9327954481858036
volume,249092,2.2814863584539045,5.409246382862557,0.1067363,-0.9903158,0.00266199,-0.12091589,58583,9479,6.180293279881844
volume_v11,249092,0.7153983267226567,5.717967658535802,0.11124509,-1.0970275,-4.69815e-05,-0.02293998,51956,10968,4.737053245805981
volume_v2,249092,0.0843062001188316,5.801470942463026,0.11556872,-0.77911866,-0.00043988414,0.0006560683,52739,11461,4.601605444551086
